"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YMR188C",673.17024812233,-0.0302299280830101,0.110891275499835,-0.272608714677965,0.785154012252638,0.976515557296776
"YMR189W",5395.49426177147,0.068116032143801,0.103957678032721,0.655228487523174,0.512320655487855,0.919618754072084
"YMR190C",3260.98229047559,-0.0341380148722892,0.0696098444849413,-0.490419352677541,0.623837184999488,0.947968809374981
"YMR191W",1802.38640208174,0.16934649078972,0.134754060574501,1.25670788744873,0.208859430968782,0.778829932690885
"YMR192W",785.273809503584,-0.0703986912744949,0.068567244172083,-1.02671023350181,0.304556929106794,0.836654692077173
"YMR193C-A",359.239389069299,0.00147992373647451,0.155683506821019,0.00950597636637193,0.992415442450058,0.998849437197848
"YMR193W",585.864458577178,0.0899440415421724,0.131991419126672,0.681438552121734,0.495594035791554,0.911286307060331
"YMR194C-A",45.6823880987299,0.0121200189152178,0.243517114255302,0.0497707068855588,0.96030511026106,0.996374681090247
"YMR194C-B",174.053283181202,-0.0939736575015547,0.223024645321316,-0.421359968384504,0.673492246309529,0.960702412869763
"YMR194W",4163.71916423511,-0.236111098226915,0.145196174286442,-1.62615233760303,0.103917252525367,0.698032306882223
"YMR195W",845.138626858977,0.129057485732264,0.138709862908678,0.930413187829557,0.352157193012268,0.856267045932404
"YMR196W",4721.7294177823,0.263846551019069,0.108070036945158,2.44144037031246,0.0146288039961607,0.418306461405636
"YMR197C",784.903647342201,-0.0156659185649928,0.133796188515412,-0.117087928578685,0.906790375534009,0.996333918045923
"YMR198W",458.566277306044,-0.177923486664382,0.169399402760789,-1.05031944484261,0.293571268054275,0.829019867976556
"YMR199W",1496.68380608986,-0.295197319574045,0.196374621094786,-1.50323559087383,0.132778302696255,0.709402234829562
"YMR200W",2544.00137147406,0.02678610057805,0.0572920048879588,0.467536449988673,0.640116120058064,0.954001200469806
"YMR201C",423.109558813566,0.0102573712577354,0.0990406398451006,0.103567295948188,0.91751274210842,0.996333918045923
"YMR202W",4788.02991343106,0.0267852298611181,0.0785431373844033,0.341025718517286,0.733084220461441,0.975463288375057
"YMR203W",4619.49484049997,-0.0644409299342433,0.100687330094529,-0.64001031583362,0.522165892831397,0.920287411468532
"YMR204C",208.225821840104,-0.107883666319526,0.11551063624137,-0.933971708839815,0.3503184867429,0.856086929590804
"YMR205C",48408.3786911799,-0.00701480685718711,0.0909683682683307,-0.0771125940886994,0.93853397420023,0.996374681090247
"YMR206W",81.2932931388276,0.837941321916047,0.312637674733558,2.6802314296579,0.00735712756200475,0.315668868480287
"YMR207C",2437.4768617163,-0.0264834478051076,0.114554149414669,-0.231187154201122,0.81716940917694,0.981554826315923
"YMR208W",1690.14824015407,0.0236355261547869,0.0889447845604495,0.265732569611471,0.790445177988548,0.97703011133239
"YMR209C",1326.30073231657,0.0248209131616823,0.0771305591830177,0.321803879351976,0.747601275213495,0.975463288375057
"YMR210W",993.117557671453,0.160372230731447,0.0832806635848187,1.92568387220058,0.054143858876201,0.630965508016913
"YMR211W",773.701517822837,-0.10590186235584,0.0785105825806342,-1.34888646695589,0.177373435677053,0.750525109940367
"YMR212C",4132.21651756887,-0.274331458787299,0.0770425808134104,-3.56077711689985,0.000369758849543718,0.0585391388387385
"YMR213W",535.911551470767,0.0996829649586691,0.072317064166121,1.37841553868511,0.168075028580308,0.738642525737833
"YMR214W",1891.74786280019,0.021753324553256,0.114241512583993,0.190415235768719,0.848983759667697,0.98491878690177
"YMR215W",3775.95576052695,-0.122676178233887,0.129574330320987,-0.946762973267841,0.343759573258755,0.852479022867308
"YMR216C",4205.29595810971,0.0011753598760702,0.0815983557534406,0.0144042102958753,0.988507500408814,0.998849437197848
"YMR217W",18865.351329434,-0.0660022872451798,0.0719418093500943,-0.91743991208213,0.358912166293131,0.859350376764556
"YMR218C",1892.83470110409,-0.0393415581111234,0.0615305783550564,-0.639382225275157,0.522574309269632,0.920287411468532
"YMR219W",2426.74680789158,0.0614496707888937,0.100313533407021,0.61257607724336,0.540156680327474,0.924623437301488
"YMR220W",2288.86553337929,-0.0435069753164769,0.064030280569578,-0.67947500666033,0.496836938570718,0.911780765694807
"YMR221C",2204.03980330572,-0.0527019690913881,0.0660175809946777,-0.798302032539436,0.42469523882288,0.884890057056618
"YMR222C",1064.13430112644,0.120142654160383,0.0831660234252238,1.44461222518839,0.148566836948059,0.722805432491465
"YMR223W",1195.46358005798,-0.0730388487140503,0.092366883032661,-0.790747141356103,0.429091560914774,0.885058282447602
"YMR224C",866.861455939942,0.0418714588799591,0.0815046355300324,0.513731011833438,0.607440066858207,0.942026410134285
"YMR225C",649.873172542278,-0.0472084883551483,0.117265060694857,-0.402579319666174,0.687257725740851,0.965603874256826
"YMR226C",4666.38744487056,0.055202545170804,0.0530104900905412,1.04135134530012,0.297712514888761,0.829339645680915
"YMR227C",242.964053918652,0.0527829976653133,0.192648882215088,0.273985486229721,0.784095775349018,0.976515557296776
"YMR228W",577.799047825449,-0.116494344728314,0.080755273000693,-1.44256022423842,0.149144394972563,0.723539811484983
"YMR229C",22602.1399505029,-0.113834787877515,0.0706239267870506,-1.61184449883049,0.106995782152159,0.700523879619566
"YMR230W",7782.36843752138,-0.174882974257376,0.100380996087657,-1.74219205898953,0.0814748430562872,0.67053970751388
"YMR230W-A",15.7322121623584,0.0225388754626009,0.451801186713714,0.0498867115125193,0.960212666795497,0.996374681090247
"YMR231W",2250.00386967031,0.0126043926952261,0.0545047875305234,0.23125294614106,0.817118299460289,0.981554826315923
"YMR232W",340.121094437261,-0.0382556392829186,0.113351389270457,-0.337495989498996,0.735743034909151,0.975463288375057
"YMR233W",338.666854025751,-0.111553819685592,0.110557016557192,-1.00901619055435,0.312966869484854,0.844270650239286
"YMR234W",662.881629543624,-0.0969080313709187,0.0643698631019168,-1.50548761021107,0.132198759861035,0.709402234829562
"YMR235C",4468.21822363611,-0.163299650857966,0.0892549380355306,-1.82958673718377,0.0673117584430519,0.65624549655515
"YMR236W",1401.3039867501,-0.0395990910928898,0.0718305393777943,-0.551284891299751,0.581438393994398,0.933169638825787
"YMR237W",5615.49802496824,-0.0103778824321463,0.0372722450987822,-0.278434594016054,0.78067876681381,0.97620978832749
"YMR238W",3163.75308204691,-0.13453281985276,0.187571402719464,-0.717235238966416,0.47322895914302,0.903663198644933
"YMR239C",973.569378326303,-0.147966894480173,0.0967583574853146,-1.52924148699641,0.126204589267589,0.708604133975502
"YMR240C",390.98241696833,-0.163143965192663,0.101497536553457,-1.60736871782832,0.107973508086011,0.700723586068377
"YMR241W",3852.62545218376,-0.0707945639637441,0.0855794369474561,-0.827238019890344,0.408102166040861,0.878141582293744
"YMR242C",16914.8937732183,-0.0941659473300741,0.0959307167799498,-0.981603708289559,0.326295119885794,0.846593472857265
"YMR242W-A",25.6012600308313,0.16859454844544,0.391686555232009,0.430432309185532,0.666881196967409,0.960702412869763
"YMR243C",8674.85331649009,-0.0253382625327918,0.0752495131646442,-0.33672327523704,0.736325515873254,0.975463288375057
"YMR244C-A",377.644826317432,-0.0329152348321027,0.119071097898082,-0.276433453735988,0.782215164993446,0.976480396523758
"YMR244W",100.049447436121,-0.0736778036355194,0.256273957385001,-0.287496257471191,0.773732367150174,0.97620978832749
"YMR245W",238.113671488281,-0.086165152139726,0.146671513988386,-0.587470257834448,0.55688791994129,0.927175876269675
"YMR246W",19562.2186541536,-0.145938654947621,0.0729988240307615,-1.9991918621336,0.0455875987354002,0.60179688555014
"YMR247C",4959.34804627966,-0.0579945650000729,0.0577767687423769,-1.00376961644683,0.315489672615148,0.845024620666152
"YMR247W-A",21.2200831394447,-0.202358427620532,0.359898295461336,-0.562265590508392,0.573935078711328,0.931528788044082
"YMR250W",3668.2453133926,0.520176275811167,0.203284230830384,2.5588619131269,0.0105015446064977,0.36452152962982
"YMR251W",153.208061889889,0.41295491374031,0.248011200979083,1.66506557812741,0.0958996732147451,0.690226845076699
"YMR251W-A",5757.27453437682,0.509580492405206,0.232789241796718,2.18902080041222,0.0285953282227815,0.522851480264999
"YMR252C",499.870811083229,0.0869777575223378,0.0761093919497665,1.14279926950073,0.253121942180722,0.807378145796102
"YMR253C",775.161136817846,0.16893569185197,0.0712884976571215,2.36974683720374,0.0178002688681025,0.447984778847342
"YMR254C",35.9821042584622,0.119474121167282,0.249689032540177,0.478491666020845,0.632300304559848,0.95270688878783
"YMR255W",577.103678531226,-0.0687951049865162,0.120941037357895,-0.568831775296705,0.569470308578389,0.930560106344793
"YMR256C",400.87988816725,-0.0295876545840745,0.141804716003898,-0.208650709354837,0.834720921357517,0.981747293892126
"YMR257C",933.610817213392,-0.114571684049223,0.074034976140108,-1.54753455761775,0.121734398066033,0.708366920418792
"YMR258C",1164.66722283586,-0.0323294590047912,0.0760763597140168,-0.424960646465246,0.670865363067162,0.960702412869763
"YMR259C",4677.57839605175,-0.160977586458998,0.0939460440198471,-1.71351107051394,0.0866185584663991,0.672557866745771
"YMR260C",5310.53493313512,-0.152528406838446,0.0967025956185459,-1.57729382404699,0.114727932810677,0.708366920418792
"YMR261C",5391.41161358644,0.103686859662849,0.120002113261332,0.864041947636767,0.387564847493549,0.869720594826551
"YMR262W",533.150303304777,0.152859706701215,0.121941026160468,1.25355437389923,0.21000402389625,0.779014822593721
"YMR263W",188.977798282934,0.20763907783688,0.117890837895343,1.76128256905944,0.0781905888159806,0.669066185824029
"YMR264W",1834.17913181492,0.0216660290091369,0.0622365799830155,0.348123708196203,0.72774728005608,0.974956977868629
"YMR265C",845.86832195426,0.028359999282617,0.0994109452953782,0.285280450742635,0.77542928888184,0.97620978832749
"YMR266W",7505.88385064238,-0.0850937437305996,0.0770462466841827,-1.10445021519872,0.269397888274631,0.813709489432588
"YMR267W",1108.76550626609,-0.082498844772266,0.0976499094190192,-0.844843024055051,0.398198489344071,0.875693602555346
"YMR268C",547.938717481901,-0.146737214610693,0.0945170059979709,-1.55249537436516,0.120543738653146,0.708366920418792
"YMR269W",21.7034024440534,-0.542784947361168,0.503612643225505,-1.07778260665732,0.281130783413139,0.820964147961964
"YMR270C",863.48172764168,-0.0462886871007839,0.0712544552698292,-0.6496251627424,0.515934375251685,0.919618754072084
"YMR271C",298.683833061158,0.145552131473244,0.132706944326756,1.09679363210158,0.272731614508705,0.81741047792637
"YMR272C",3733.0114673774,0.0524876517896087,0.124343002722496,0.422119867144826,0.672937527374133,0.960702412869763
"YMR272W-B",10.5035583646806,0.567044474556612,0.493854018877817,1.14820261227216,0.250884931139726,0.806077337989723
"YMR273C",1520.85827984024,0.0825592221307698,0.098865644034362,0.835064829012547,0.403681208015544,0.878141582293744
"YMR274C",330.957843002784,-0.0124440624777183,0.0976710487432141,-0.127407892490587,0.898617569845583,0.994060161152574
"YMR275C",2547.69307649257,0.00347084651469514,0.0662192566570203,0.0524144590246948,0.958198453318062,0.996374681090247
"YMR276W",6659.1515446468,0.0704767045623028,0.0826082940050935,0.853143203247332,0.393579895498412,0.873528595000852
"YMR277W",2757.99439258299,-0.0138886439995685,0.125476628880263,-0.110687098653422,0.911864476893823,0.996333918045923
"YMR278W",1734.08899597214,-0.0400280964884501,0.140207125395812,-0.285492598007759,0.775266774485321,0.97620978832749
"YMR279C",795.265301936505,0.189096793220905,0.224738304558112,0.841408827003093,0.400118942132575,0.875741938165271
"YMR280C",873.466996793724,-0.0514961291828396,0.105923089991199,-0.486165284520292,0.626849982705375,0.949063516014856
"YMR281W",717.920515031482,0.0735757463449023,0.14495742612278,0.507567968836473,0.611756358748871,0.943743246737494
"YMR282C",822.331382766141,-0.00429263616049223,0.0576437211863252,-0.0744684082177292,0.940637677938912,0.996374681090247
"YMR283C",581.371358412409,-0.0376687616166834,0.099841614165776,-0.377285182450461,0.705961682648988,0.971380525899215
"YMR284W",631.734270523187,0.0208821197262217,0.112285850332894,0.185972851114477,0.852466051577424,0.98491878690177
"YMR285C",1143.63181749419,0.0622576064116913,0.077535700094715,0.80295407580817,0.422001278853261,0.882589397605921
"YMR286W",688.109198098318,-0.123088418617974,0.118067267881323,-1.04252788115415,0.297167005914627,0.829089190307941
"YMR287C",1495.25552847947,0.0660943219762807,0.0714333612361605,0.925258462327863,0.354831479740891,0.85716826758397
"YMR288W",1440.73304926501,-0.0770388039675797,0.0680771242943477,-1.13164010328174,0.257785772670655,0.809430438465351
"YMR289W",1312.23444627649,-0.0645394750533151,0.0532327723147123,-1.21240116279794,0.225358856028836,0.785625460081868
"YMR290C",5960.01121313031,-0.137088106672003,0.101572366137181,-1.34965947811883,0.177125236047527,0.750525109940367
"YMR290W-A",355.842081213858,0.146292417794782,0.132228516067108,1.10636058050093,0.268570480297856,0.813297531039978
