"Reaction","WT_mean","mip6_mean","log2FC","p_value","FDR"
"ALATA_Lm",0.2274274076528,0.222893536791616,-0.0290512136320422,7.80055736177764e-22,1.26759057128887e-21
"ALAt2r",0.0830292841350233,0.0873631549962071,0.0734038364687773,7.80055736177764e-22,1.26759057128887e-21
"ALAt2r_rev",0,0,0,NA,1
"ALAtmi",0.2274274076528,0.222893536791616,-0.0290512136320422,7.80055736177764e-22,1.26759057128887e-21
"ALCD22xi",0,0,0,NA,1
"ALCD22xim",0,0,0,NA,1
"ALCD22yi",0,0,0,NA,1
"ALCD23xi",0,0.00869388332725034,13.0859509534445,6.59274361439487e-14,1.02474167049833e-13
"ALCD23xim",0.00664800385881275,0.00512998247504507,-0.37390311697065,0.00689363238466284,0.00893464741093764
"ALCD23yi",0,0,0,NA,1
"ALCD24xi",0,4.40647929012731e-06,2.43468941398862,4.98256150402345e-09,7.34542572242632e-09
"ALCD24xim",0.00171609984294549,5.71210278349837e-06,-7.99899340560607,1.00942474543271e-24,3.09316582707594e-24
"ALCD24yi",0,0,0,NA,1
"ALCD25xi",0,0.0126622146107759,13.628356065068,1.33770459308541e-12,2.05690061087327e-12
"ALCD25xim",0.0215349047892992,0.00914493277444927,-1.23554171686558,0.109257549995756,0.132032363234308
"ALCD25yi",0,0,0,NA,1
"ALCD26xi",0,0,0,NA,1
"ALCD26xim",0,0,0,NA,1
"ALCD2ir",0,6.45161290322581e-06,2.89755273102918,0.15896942728668,0.182851993326112
"ALCD2irm",0.00031634809856068,0.000193548387096774,-0.705937178821759,3.7325535168822e-28,2.76149854205287e-27
"ALCD2x_copy1",0,0,0,NA,1
"ALCD2x_copy2",0,0,0,NA,1
"ALCD2x_copy2_rev",0,0,0,NA,1
"ALDD22x",0,0,0,NA,1
"ALDD2xm",0,0,0,NA,1
"ALDD2y",0.475155274068058,0.479507319299357,0.0131537664879041,7.79484007016099e-22,1.26759057128887e-21
"ALDD2ym",0,0,0,NA,1
"ALPHNH",0,0,0,NA,1
"AMPDA",0.0276201925606002,0,-14.7534879896639,7.7363778048338e-25,2.78899670443168e-24
"AMPN",0,0,0,NA,1
"ANPRT",0,0,0,NA,1
"ANS",0,0,0,NA,1
"AP4AH",0,0,0,NA,1
"APRTO2",0,0,0,NA,1
"ARGN",0.0323189637719818,0.0300804854795254,-0.103549769217662,2.34560292021189e-28,1.863451208835e-27
"ARGSL",0,0,0,NA,1
"ARGSS",0,0,0,NA,1
"ARGt2r",0.140989954117019,0.138751475824563,-0.0230890889014132,2.76663680870452e-27,1.74542233960917e-26
"ARGt2r_rev",0,0,0,NA,1
"ASAD",0,0,0,NA,1
"ASAD_rev",0,0,0,NA,1
