Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9929274_1	(1.0, 7.801234332075188)	(2.0, 4.637092820782443)	(3.0, 3.4489619435585728)	(4.0, 2.7607632116905987)	(5.0, 2.317712867698632)	(6.0, 2.0163912714296175)	(7.0, 1.8205154511018875)	(8.0, 1.5576364705955081)	(9.0, 1.369377259016988)	('>10', 21.328393348786058)	('>50', 7.778955765321088)	('>100', 16.361762816400528)	('>500', 6.48340035253675)	('>1k', 12.367146077621127)	('>5k', 3.2828801835837815)	('>10k+', 4.667775827801227)
SRR9929274_2	(1.0, 10.995204449281005)	(2.0, 5.983149254028374)	(3.0, 4.673652768973595)	(4.0, 3.727741455436701)	(5.0, 3.122162785159729)	(6.0, 2.6203391073136237)	(7.0, 2.1308960468725293)	(8.0, 1.8207645093105247)	(9.0, 1.6657242283200424)	('>10', 20.353497203520668)	('>50', 7.125143237249137)	('>100', 16.051133560463622)	('>500', 6.074194649683648)	('>1k', 8.8046411895371)	('>5k', 1.9640508359385749)	('>10k+', 2.8877047189111384)
SRR9929275_1	(1.0, 8.153057945925298)	(2.0, 4.788889441869815)	(3.0, 3.3899259822730246)	(4.0, 2.7422050361999415)	(5.0, 2.459243037028734)	(6.0, 2.0444640162454246)	(7.0, 1.8175323554468488)	(8.0, 1.5937323219259563)	(9.0, 1.5259784607666613)	('>10', 22.967198381190677)	('>50', 8.421579561038582)	('>100', 17.388185865212456)	('>500', 6.409238474583807)	('>1k', 9.622304027716803)	('>5k', 2.5522039899228677)	('>10k+', 4.12426110265307)
SRR9929275_2	(1.0, 10.583086698646344)	(2.0, 6.278145885097307)	(3.0, 4.9450444034363725)	(4.0, 4.0344841772346)	(5.0, 3.3302210771676366)	(6.0, 2.7775862898766936)	(7.0, 2.315857913577653)	(8.0, 1.99171297045074)	(9.0, 1.8053082679843253)	('>10', 22.162401862307117)	('>50', 7.836641014597095)	('>100', 16.200519450564876)	('>500', 4.825731336076152)	('>1k', 6.639218119520531)	('>5k', 1.9326479498852533)	('>10k+', 2.3413925835773792)
SRR9929276_1	(1.0, 7.041562000015958)	(2.0, 3.7435396083914934)	(3.0, 2.7484673551905403)	(4.0, 2.200537704457112)	(5.0, 1.8439049938396068)	(6.0, 1.6397246536188563)	(7.0, 1.4214778017610772)	(8.0, 1.2696135232397898)	(9.0, 1.1749590720248437)	('>10', 19.34361401478806)	('>50', 7.894808375604237)	('>100', 17.77161441101286)	('>500', 7.410196505257045)	('>1k', 12.555354637629227)	('>5k', 3.4169390171242062)	('>10k+', 8.523686326045212)
SRR9929276_2	(1.0, 10.309175865903956)	(2.0, 5.389915800718965)	(3.0, 4.111613962590685)	(4.0, 3.28013359829846)	(5.0, 2.5908309498421214)	(6.0, 2.225533133160461)	(7.0, 1.8475069228059562)	(8.0, 1.644060615789302)	(9.0, 1.46409939419851)	('>10', 19.52267010853407)	('>50', 7.853094294953861)	('>100', 18.181775683445604)	('>500', 5.821426075345766)	('>1k', 8.403245380445242)	('>5k', 2.3704349709343178)	('>10k+', 4.984483243032796)
SRR9929277_1	(1.0, 6.6145992843428605)	(2.0, 4.223743399363259)	(3.0, 3.169738197869379)	(4.0, 2.4755705164598663)	(5.0, 2.07563749769864)	(6.0, 1.833454437751381)	(7.0, 1.6065176677838733)	(8.0, 1.411630289833986)	(9.0, 1.2741389725197962)	('>10', 20.61283436870871)	('>50', 8.050335098545451)	('>100', 16.63836821631454)	('>500', 6.582204064862617)	('>1k', 11.950057428181585)	('>5k', 3.3926409501535684)	('>10k+', 8.088529609610426)
SRR9929277_2	(1.0, 9.046653666240305)	(2.0, 5.556720171760909)	(3.0, 4.457241237518811)	(4.0, 3.621356223102478)	(5.0, 2.9751133774004277)	(6.0, 2.4851400119663696)	(7.0, 2.2419976030926763)	(8.0, 1.8337166575771866)	(9.0, 1.643235026943264)	('>10', 20.794331593874603)	('>50', 7.189523769103415)	('>100', 15.810398413246906)	('>500', 6.039248663176842)	('>1k', 8.010425752619184)	('>5k', 2.578855911934316)	('>10k+', 5.716041920442392)
SRR9929278_1	(1.0, 6.299864276146458)	(2.0, 3.920562358217855)	(3.0, 2.964036565846459)	(4.0, 2.3731142238760348)	(5.0, 1.9651656569383766)	(6.0, 1.694946151908391)	(7.0, 1.4658594263820106)	(8.0, 1.308366662901108)	(9.0, 1.2169824208309417)	('>10', 19.19261196566254)	('>50', 7.933757145584199)	('>100', 18.20702829851095)	('>500', 7.766961807972899)	('>1k', 12.796671459794135)	('>5k', 3.3216646077412713)	('>10k+', 7.57240697168627)
SRR9929278_2	(1.0, 8.894847298609546)	(2.0, 5.203039252823906)	(3.0, 4.163832678152744)	(4.0, 3.30119882971101)	(5.0, 2.6957530757887573)	(6.0, 2.3731658624343495)	(7.0, 1.9384081517396063)	(8.0, 1.6386641623765807)	(9.0, 1.433923031238116)	('>10', 19.855722447733605)	('>50', 8.150142923396444)	('>100', 18.98740019680047)	('>500', 6.108084114066039)	('>1k', 7.887189010305781)	('>5k', 2.5133283443904757)	('>10k+', 4.855300620432691)
SRR9929279_1	(1.0, 8.823135900290833)	(2.0, 4.661877606463961)	(3.0, 3.477681271901243)	(4.0, 2.847099910743906)	(5.0, 2.359278319875604)	(6.0, 2.0590744228264533)	(7.0, 1.830721120645222)	(8.0, 1.7449423662370733)	(9.0, 1.487490493986266)	('>10', 22.65761821818721)	('>50', 8.119941963432478)	('>100', 16.592107036018223)	('>500', 6.301403464033322)	('>1k', 10.161623411018223)	('>5k', 2.4815454221809)	('>10k+', 4.394459072158915)
SRR9929279_2	(1.0, 10.818209650245512)	(2.0, 6.394033077848374)	(3.0, 5.172387597183295)	(4.0, 4.039379245628756)	(5.0, 3.2421481479995853)	(6.0, 2.8283689323575496)	(7.0, 2.4031830533706215)	(8.0, 1.9978439118362945)	(9.0, 1.7279089544782424)	('>10', 21.4609110320581)	('>50', 7.45500311110843)	('>100', 15.708798638792917)	('>500', 5.003878639275527)	('>1k', 7.268440464737447)	('>5k', 1.6944170126554994)	('>10k+', 2.785088530423643)
SRR9929280_1	(1.0, 6.587548304761381)	(2.0, 4.085547503324545)	(3.0, 3.062230233672827)	(4.0, 2.4829652643074662)	(5.0, 2.049165137823265)	(6.0, 1.7910452135812882)	(7.0, 1.5731154757315797)	(8.0, 1.373582034387631)	(9.0, 1.3242292938537357)	('>10', 20.824798164669794)	('>50', 8.216516921105498)	('>100', 16.572781647279644)	('>500', 6.423917896701928)	('>1k', 12.552282324410227)	('>5k', 3.745499680140952)	('>10k+', 7.3347749042483095)
