Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
SRR9929273_1	(14, 9.0)	(16, 13.0)	(18, 34.0)	(20, 35.0)	(22, 11.0)	(24, 17.0)	(26, 45.0)	(28, 68.0)	(30, 170.0)	(32, 295.0)	(34, 265.0)	(36, 425.0)	(38, 557.0)	(40, 764.0)	(42, 1146.0)	(44, 1446.0)	(46, 2123.0)	(48, 3207.0)	(50, 4591.0)	(52, 5503.0)	(54, 6333.0)	(56, 8746.0)	(58, 11430.0)	(60, 15017.0)	(62, 17735.0)	(64, 20817.0)	(66, 26384.0)	(68, 31859.0)	(70, 39018.0)	(72, 47805.0)	(74, 56184.0)	(76, 64405.0)	(78, 74718.0)	(80, 88224.0)	(82, 106917.0)	(84, 123446.0)	(86, 145609.0)	(88, 161094.0)	(90, 188826.0)	(92, 214115.0)	(94, 228231.0)	(96, 263374.0)	(98, 275203.0)	(100, 24442671.0)
SRR9929273_2	(14, 9.0)	(16, 13.0)	(18, 31.0)	(20, 36.0)	(22, 11.0)	(24, 19.0)	(26, 43.0)	(28, 68.0)	(30, 168.0)	(32, 294.0)	(34, 267.0)	(36, 428.0)	(38, 553.0)	(40, 754.0)	(42, 1130.0)	(44, 1422.0)	(46, 2091.0)	(48, 3156.0)	(50, 4528.0)	(52, 5436.0)	(54, 6233.0)	(56, 8629.0)	(58, 11296.0)	(60, 14828.0)	(62, 17427.0)	(64, 20462.0)	(66, 25892.0)	(68, 31368.0)	(70, 38405.0)	(72, 47066.0)	(74, 55301.0)	(76, 63355.0)	(78, 73351.0)	(80, 86728.0)	(82, 105063.0)	(84, 121237.0)	(86, 142825.0)	(88, 158314.0)	(90, 184942.0)	(92, 211078.0)	(94, 233913.0)	(96, 270762.0)	(98, 275203.0)	(100, 24454750.0)
SRR9929274_1	(14, 12.0)	(16, 19.0)	(18, 41.0)	(20, 69.0)	(22, 53.0)	(24, 103.0)	(26, 251.0)	(28, 344.0)	(30, 584.0)	(32, 752.0)	(34, 860.0)	(36, 1251.0)	(38, 1778.0)	(40, 2514.0)	(42, 3427.0)	(44, 4311.0)	(46, 5891.0)	(48, 8999.0)	(50, 12251.0)	(52, 14171.0)	(54, 15677.0)	(56, 20429.0)	(58, 26623.0)	(60, 33806.0)	(62, 38389.0)	(64, 44841.0)	(66, 52319.0)	(68, 62934.0)	(70, 74137.0)	(72, 88177.0)	(74, 100967.0)	(76, 114124.0)	(78, 127644.0)	(80, 145073.0)	(82, 174278.0)	(84, 194456.0)	(86, 219380.0)	(88, 235390.0)	(90, 263681.0)	(92, 294375.0)	(94, 299959.0)	(96, 333759.0)	(98, 352840.0)	(100, 23674216.0)
SRR9929274_2	(14, 13.0)	(16, 18.0)	(18, 43.0)	(20, 68.0)	(22, 53.0)	(24, 102.0)	(26, 248.0)	(28, 342.0)	(30, 570.0)	(32, 745.0)	(34, 844.0)	(36, 1239.0)	(38, 1756.0)	(40, 2456.0)	(42, 3378.0)	(44, 4219.0)	(46, 5776.0)	(48, 8785.0)	(50, 12019.0)	(52, 13938.0)	(54, 15340.0)	(56, 19995.0)	(58, 26126.0)	(60, 33018.0)	(62, 37539.0)	(64, 43856.0)	(66, 51067.0)	(68, 61628.0)	(70, 72569.0)	(72, 86340.0)	(74, 98755.0)	(76, 111690.0)	(78, 124715.0)	(80, 141622.0)	(82, 170283.0)	(84, 189870.0)	(86, 213976.0)	(88, 230075.0)	(90, 256813.0)	(92, 289447.0)	(94, 305659.0)	(96, 344562.0)	(98, 352840.0)	(100, 23710758.0)
SRR9929275_1	(14, 13.0)	(16, 23.0)	(18, 32.0)	(20, 41.0)	(22, 31.0)	(24, 91.0)	(26, 178.0)	(28, 239.0)	(30, 392.0)	(32, 626.0)	(34, 691.0)	(36, 985.0)	(38, 1568.0)	(40, 2349.0)	(42, 2855.0)	(44, 3581.0)	(46, 5081.0)	(48, 7466.0)	(50, 10431.0)	(52, 12469.0)	(54, 13869.0)	(56, 17776.0)	(58, 23408.0)	(60, 29837.0)	(62, 34272.0)	(64, 39870.0)	(66, 47561.0)	(68, 57066.0)	(70, 68422.0)	(72, 81201.0)	(74, 93283.0)	(76, 106088.0)	(78, 119709.0)	(80, 137225.0)	(82, 164835.0)	(84, 185628.0)	(86, 212398.0)	(88, 228484.0)	(90, 253865.0)	(92, 287348.0)	(94, 297483.0)	(96, 334089.0)	(98, 345094.0)	(100, 25607190.0)
SRR9929275_2	(14, 13.0)	(16, 23.0)	(18, 33.0)	(20, 42.0)	(22, 29.0)	(24, 91.0)	(26, 182.0)	(28, 237.0)	(30, 393.0)	(32, 621.0)	(34, 683.0)	(36, 982.0)	(38, 1551.0)	(40, 2158.0)	(42, 2813.0)	(44, 3537.0)	(46, 5015.0)	(48, 7376.0)	(50, 10298.0)	(52, 12294.0)	(54, 13704.0)	(56, 17485.0)	(58, 23078.0)	(60, 29385.0)	(62, 33714.0)	(64, 39213.0)	(66, 46747.0)	(68, 56212.0)	(70, 67323.0)	(72, 79900.0)	(74, 91825.0)	(76, 104359.0)	(78, 117662.0)	(80, 134881.0)	(82, 162130.0)	(84, 182318.0)	(86, 208503.0)	(88, 224703.0)	(90, 248988.0)	(92, 282853.0)	(94, 302998.0)	(96, 343369.0)	(98, 345094.0)	(100, 25630328.0)
SRR9929276_1	(14, 23.0)	(16, 22.0)	(18, 57.0)	(20, 28.0)	(22, 39.0)	(24, 94.0)	(26, 243.0)	(28, 358.0)	(30, 678.0)	(32, 988.0)	(34, 1290.0)	(36, 2024.0)	(38, 3386.0)	(40, 4872.0)	(42, 6345.0)	(44, 7935.0)	(46, 10876.0)	(48, 15917.0)	(50, 22007.0)	(52, 24895.0)	(54, 26781.0)	(56, 34423.0)	(58, 43555.0)	(60, 53008.0)	(62, 59302.0)	(64, 65765.0)	(66, 78229.0)	(68, 89462.0)	(70, 104495.0)	(72, 122887.0)	(74, 135742.0)	(76, 147400.0)	(78, 162537.0)	(80, 188304.0)	(82, 220091.0)	(84, 242590.0)	(86, 273062.0)	(88, 292619.0)	(90, 328773.0)	(92, 345993.0)	(94, 357183.0)	(96, 383698.0)	(98, 402234.0)	(100, 23452673.0)
SRR9929276_2	(14, 23.0)	(16, 21.0)	(18, 59.0)	(20, 29.0)	(22, 38.0)	(24, 93.0)	(26, 245.0)	(28, 354.0)	(30, 677.0)	(32, 978.0)	(34, 1277.0)	(36, 2002.0)	(38, 3327.0)	(40, 4780.0)	(42, 6265.0)	(44, 7798.0)	(46, 10696.0)	(48, 15654.0)	(50, 21611.0)	(52, 24540.0)	(54, 26357.0)	(56, 33935.0)	(58, 42869.0)	(60, 52207.0)	(62, 58284.0)	(64, 64427.0)	(66, 76588.0)	(68, 87979.0)	(70, 102807.0)	(72, 120803.0)	(74, 133640.0)	(76, 144964.0)	(78, 159393.0)	(80, 184654.0)	(82, 216122.0)	(84, 237725.0)	(86, 267332.0)	(88, 287213.0)	(90, 322257.0)	(92, 339989.0)	(94, 361605.0)	(96, 388516.0)	(98, 402234.0)	(100, 23500516.0)
SRR9929277_1	(14, 11.0)	(16, 13.0)	(18, 21.0)	(20, 62.0)	(22, 39.0)	(24, 59.0)	(26, 145.0)	(28, 228.0)	(30, 433.0)	(32, 656.0)	(34, 678.0)	(36, 838.0)	(38, 1245.0)	(40, 1853.0)	(42, 2385.0)	(44, 2875.0)	(46, 4036.0)	(48, 5763.0)	(50, 8431.0)	(52, 9931.0)	(54, 10844.0)	(56, 14945.0)	(58, 18540.0)	(60, 24352.0)	(62, 29125.0)	(64, 33575.0)	(66, 40992.0)	(68, 48043.0)	(70, 56677.0)	(72, 68527.0)	(74, 78919.0)	(76, 91403.0)	(78, 103210.0)	(80, 120537.0)	(82, 149563.0)	(84, 169848.0)	(86, 195606.0)	(88, 214320.0)	(90, 245307.0)	(92, 277484.0)	(94, 296451.0)	(96, 330299.0)	(98, 365587.0)	(100, 26164066.0)
SRR9929277_2	(14, 10.0)	(16, 13.0)	(18, 20.0)	(20, 63.0)	(22, 38.0)	(24, 60.0)	(26, 141.0)	(28, 231.0)	(30, 431.0)	(32, 652.0)	(34, 674.0)	(36, 827.0)	(38, 1239.0)	(40, 1831.0)	(42, 2350.0)	(44, 2831.0)	(46, 3981.0)	(48, 5672.0)	(50, 8335.0)	(52, 9825.0)	(54, 10660.0)	(56, 14733.0)	(58, 18319.0)	(60, 23964.0)	(62, 28707.0)	(64, 33013.0)	(66, 40278.0)	(68, 47291.0)	(70, 55782.0)	(72, 67468.0)	(74, 77641.0)	(76, 89968.0)	(78, 101321.0)	(80, 118484.0)	(82, 147034.0)	(84, 166991.0)	(86, 192074.0)	(88, 210805.0)	(90, 240204.0)	(92, 274118.0)	(94, 302028.0)	(96, 340681.0)	(98, 365587.0)	(100, 26181547.0)
