Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR9929274_2	(18.0, 3.0)	(19.0, 2437.0)	(20.0, 17330.0)	(21.0, 23496.0)	(22.0, 21780.0)	(23.0, 23922.0)	(24.0, 35014.0)	(25.0, 60516.0)	(26.0, 97687.0)	(27.0, 122655.0)	(28.0, 121261.0)	(29.0, 113759.0)	(30.0, 124847.0)	(31.0, 158962.0)	(32.0, 221837.0)	(33.0, 340148.0)	(34.0, 609025.0)	(35.0, 1697731.0)	(36.0, 12921389.0)	(37.0, 10331356.0)				
SRR9929275_1	(22.0, 12.0)	(23.0, 45.0)	(24.0, 128.0)	(25.0, 341.0)	(26.0, 1227.0)	(27.0, 4286.0)	(28.0, 12349.0)	(29.0, 34045.0)	(30.0, 81454.0)	(31.0, 162060.0)	(32.0, 267963.0)	(33.0, 406843.0)	(34.0, 607265.0)	(35.0, 1205691.0)	(36.0, 10627710.0)	(37.0, 15423724.0)								
SRR9929275_2	(18.0, 4.0)	(19.0, 1889.0)	(20.0, 13428.0)	(21.0, 18923.0)	(22.0, 17687.0)	(23.0, 19324.0)	(24.0, 28528.0)	(25.0, 50320.0)	(26.0, 82775.0)	(27.0, 106432.0)	(28.0, 108521.0)	(29.0, 107320.0)	(30.0, 122111.0)	(31.0, 156691.0)	(32.0, 224213.0)	(33.0, 349565.0)	(34.0, 640042.0)	(35.0, 1799847.0)	(36.0, 13733035.0)	(37.0, 11254488.0)				
SRR9929276_1	(22.0, 6.0)	(23.0, 19.0)	(24.0, 56.0)	(25.0, 257.0)	(26.0, 1273.0)	(27.0, 4359.0)	(28.0, 11394.0)	(29.0, 30724.0)	(30.0, 73915.0)	(31.0, 146641.0)	(32.0, 246804.0)	(33.0, 377455.0)	(34.0, 569221.0)	(35.0, 1118369.0)	(36.0, 9842231.0)	(37.0, 15290159.0)								
SRR9929276_2	(18.0, 8.0)	(19.0, 2665.0)	(20.0, 16536.0)	(21.0, 22118.0)	(22.0, 20371.0)	(23.0, 21608.0)	(24.0, 33098.0)	(25.0, 57538.0)	(26.0, 91998.0)	(27.0, 115871.0)	(28.0, 115858.0)	(29.0, 110840.0)	(30.0, 123009.0)	(31.0, 157525.0)	(32.0, 222543.0)	(33.0, 341180.0)	(34.0, 617108.0)	(35.0, 1753770.0)	(36.0, 13441471.0)	(37.0, 10447768.0)				
SRR9929277_1	(21.0, 1.0)	(22.0, 10.0)	(23.0, 42.0)	(24.0, 131.0)	(25.0, 394.0)	(26.0, 1478.0)	(27.0, 4724.0)	(28.0, 13295.0)	(29.0, 36648.0)	(30.0, 86253.0)	(31.0, 169122.0)	(32.0, 278368.0)	(33.0, 419977.0)	(34.0, 625715.0)	(35.0, 1247480.0)	(36.0, 10790154.0)	(37.0, 15514130.0)							
SRR9929277_2	(18.0, 4.0)	(19.0, 1925.0)	(20.0, 13460.0)	(21.0, 18717.0)	(22.0, 17665.0)	(23.0, 19458.0)	(24.0, 29817.0)	(25.0, 52399.0)	(26.0, 83648.0)	(27.0, 105304.0)	(28.0, 107239.0)	(29.0, 108206.0)	(30.0, 125035.0)	(31.0, 163230.0)	(32.0, 232651.0)	(33.0, 362086.0)	(34.0, 659665.0)	(35.0, 1867130.0)	(36.0, 14188245.0)	(37.0, 11032038.0)				
SRR9929278_1	(21.0, 1.0)	(22.0, 12.0)	(23.0, 13.0)	(24.0, 54.0)	(25.0, 262.0)	(26.0, 1072.0)	(27.0, 3733.0)	(28.0, 11008.0)	(29.0, 31398.0)	(30.0, 76973.0)	(31.0, 152909.0)	(32.0, 254009.0)	(33.0, 384909.0)	(34.0, 574792.0)	(35.0, 1143734.0)	(36.0, 9942408.0)	(37.0, 15024579.0)							
SRR9929278_2	(18.0, 10.0)	(19.0, 1757.0)	(20.0, 11731.0)	(21.0, 15243.0)	(22.0, 13916.0)	(23.0, 15783.0)	(24.0, 23870.0)	(25.0, 42229.0)	(26.0, 69367.0)	(27.0, 89322.0)	(28.0, 93477.0)	(29.0, 95760.0)	(30.0, 112549.0)	(31.0, 150252.0)	(32.0, 217215.0)	(33.0, 340776.0)	(34.0, 619906.0)	(35.0, 1755962.0)	(36.0, 13450740.0)	(37.0, 10482001.0)				
SRR9929279_1	(22.0, 10.0)	(23.0, 14.0)	(24.0, 37.0)	(25.0, 150.0)	(26.0, 708.0)	(27.0, 2803.0)	(28.0, 8545.0)	(29.0, 25081.0)	(30.0, 62815.0)	(31.0, 129709.0)	(32.0, 222283.0)	(33.0, 346147.0)	(34.0, 525214.0)	(35.0, 1063021.0)	(36.0, 9992065.0)	(37.0, 15250892.0)								
