"","Acetate","Fructose","Galactose","Gluconate","Glucose","Glycerol","Pyruvate","Succinate"
"b1459",8.06499562929138,8.40678648230461,8.004857504972,8.22357801560868,8.6378319591461,9.0257641399151,8.90347774253769,10.0890126947652
"b3343",10.4146421706744,10.9197663371885,10.320206103447,10.3959260065094,10.3162006431391,10.5427783351003,10.7370763243767,10.4512286773282
"b3112",7.32873757876927,7.62975672090071,7.46472074222332,7.2040968381986,8.04004191640269,7.52193888961083,7.69267442182436,7.87097915929021
"b2933",12.7951422922576,13.2958883840527,12.9357059493713,12.1421763421327,13.0653056739747,13.2845371841415,13.3522431634987,13.6027946158441
"b1077",13.1184419137652,10.5831596229646,12.431649615868,11.7259352613503,11.7282429330851,10.4508056138737,13.379941027868,11.1347417187903
"b0314",10.6812690568559,10.7864394253658,10.4322752866368,10.3336333831431,10.328570915641,11.3709832806561,11.3522328941722,11.4335753235503
"b3636",16.297749506945,16.5087108713565,16.1170377010806,16.458283915144,15.9808284412431,16.2469918646086,16.8690234442762,16.9729047100901
"b3933",12.2786666651254,12.3809571359259,12.0906823012805,11.8995395323899,11.8733074336403,11.7615490501094,11.7319662824373,11.4838597648493
"b1341",10.3278707437552,10.3076522861338,10.5285287108868,9.89335700795855,10.82305276381,11.240630915735,10.3322795733885,10.3023565707244
"b0901",9.79262361699027,9.9025694183394,9.48832264983472,9.26726134136671,9.27470781675109,9.47880363141792,9.92881588215227,9.9771302334378
"b0563",7.18726097285318,7.01526242789256,7.4452852658258,6.30074701108012,7.21150763571652,7.44380391016259,7.51681410319424,7.11207403966364
"b4305",9.31316882433833,7.01370734156163,9.35586697117405,7.38680978165439,11.5392425858456,11.3417389028175,8.99166019170994,9.04418710061457
"b0316",7.34106918464432,7.55770799082549,7.5332169369176,7.56790514040024,7.69454734886709,7.62768662400516,7.33683328610852,7.43817735178256
"b1390",7.72103758946519,7.24393935954824,7.92686251822437,7.41146170958969,8.35725451596012,7.91066660102445,7.84423004329609,7.79073766143622
"b1573",7.64540201085435,7.97584491171578,8.29967438663397,8.26067060531998,8.45744828822688,8.47880596957208,8.08832822515481,8.71034654937222
"b0141",5.94728537859032,6.02809787329721,6.00360516383319,6.12636341700344,6.36498810650002,6.1676003117742,6.23553835652901,6.13582295494876
"b4224",10.0783504000617,9.87298481019705,10.2019768690289,9.67778182203903,10.7469325997122,9.88022928453677,9.52353814256591,9.24159506819766
"b2115",8.34200276389707,8.05529337505465,8.08355135721466,7.80512098403734,7.88916989900906,7.65280133003613,7.67695560340678,7.33547495277784
"b1261",14.179836708044,14.7503073835919,14.2304095493602,14.565786301216,14.4894209488937,14.1480352922443,14.6652911892027,14.3719207271388
"b4046",11.5042881856602,11.4506061845142,11.2663609508632,11.2039665694611,11.7629512649148,11.4948070467484,11.998575424323,11.8837170218166
"b3834",12.3868381327534,12.4231677473865,12.1885673708559,12.2458039464021,11.9325540395564,11.9639364846566,12.2271595927349,12.5259169753066
"b0115",15.3919167841949,15.529373466853,14.9309398419573,16.4097366915156,14.6685169347224,14.104085999399,15.1391485972674,16.5901563197104
"b4137",12.1229924875474,12.1830067920863,12.011505062153,11.8189074978195,12.1079801125493,12.0339185507413,12.0112125578653,11.5712816381628
"b0289",6.81018221248609,7.17645927081293,6.81377478465151,6.81295548068486,6.86034390326261,7.00211478608574,7.06267410221766,7.43474404425853
"b1729",13.4989304543059,14.2940119820405,12.852600722343,13.4483196871673,12.1226514444962,12.1631754908916,13.2003227562972,13.3086373079449
"b1880",7.96251654675212,6.58537058833334,7.53953855591443,7.33896009486109,7.40925178956562,6.99346407006131,8.36270137534281,7.30339542183366
"b2512",13.0707535978267,13.2924911560589,13.1087481820942,13.0111315415438,12.768596477486,12.949505046788,12.7262959594952,13.1129715733989
"b3825",9.94268364978631,10.28754214023,9.74709109494188,9.88131684644559,9.63955220704718,9.44831236757135,10.2036072155694,9.71975394139681
"b4062",11.8910503551014,12.0866147796706,11.8276948638107,11.6793911237919,12.5616147205468,11.7433255728797,12.1399172720055,11.6383114616603
"b0110",11.9564101000258,11.7550835078641,11.7184257542302,11.5340677793899,11.7660905848496,11.4829312883336,11.2795209276551,11.3463700037579
"b1115",6.48141584252664,6.50567617666568,6.30229722810172,5.69978004521124,6.47068486092922,6.66484485474683,7.23472057793863,6.55682355212239
"b0015",12.4452534870318,12.3882289955776,12.1435864682118,12.2162065136367,12.1550799047983,12.267553467244,11.7661656219631,11.6361057556406
"b1674",8.31175115970063,8.39436208531003,7.54724616877274,7.52613622807143,7.92212329798088,8.41463991255061,8.75431634388378,8.54483728395738
"b1472",6.00659890402433,5.76321688961013,5.53071114793093,5.42646502537197,6.14606615691372,6.09196231695179,5.90191014919608,6.19819172428968
"b1759",9.27497229534608,9.80921765371014,9.49744193241792,9.51989790113577,8.99024308208058,8.83234359490556,9.20556525306804,9.23115068228243
"b3655",10.3550529445813,10.4134919343023,10.5193379374655,10.2928516774195,10.1650416578742,10.778260922313,10.5661020993317,11.004244160073
"b1566",7.31478692338141,7.14790110536661,8.01997359704182,7.10407348392388,7.97789043474812,8.26658600201692,8.18929010670236,7.39166679719988
"b4023",10.5009562123603,11.3818473035498,11.2012013562291,10.8334354278978,11.2478328892691,10.6310218997679,11.3415524186682,11.1861074395707
"b0510",5.62098716200328,5.88431206121083,5.75897223818288,5.33868632122004,5.65778448506341,6.12656244037405,6.26485921032248,6.31619903802242
"b3390",13.3750043237773,13.5225037023737,13.0920090880081,13.3351138400852,12.8286755928141,12.2397204929704,12.5817753414309,12.6035904271003
"b3155",8.62724089522101,8.62772033724547,8.67639907827497,8.57553248994341,8.36590381018015,8.22234078703928,8.19473284543672,8.36202102250509
"b0096",14.35777246418,14.3783004937245,14.3572973553275,14.3222499163367,14.5295568956601,14.0828807219489,14.2442467103794,14.0585554289746
"b4228",8.96426340184879,7.92517302278753,9.19933851412859,7.84941172271293,11.6400116322237,10.1967995091903,8.1120232236413,8.15458887355519
"b2281",14.1091533988134,13.4544074808919,14.0950488388173,13.786693374985,13.5261244960575,13.3141070283361,13.5180840318435,13.4433546315664
