Gene_id,Condition_1,Condition_2,Condition_3,Condition_4,Condition_5,Condition_6
YGR193C,1.0,0.016270560895665566,0.00036465077815319347,1.0,1.0,0.00036460257388729327
YPR192W,0.0,1.0,1.0,0.0,1.0,1.0
YDR536W,0.0,1.0,1.0,0.0,1.0,1.0
YBR221C,1.0,0.005844764593588601,0.00013099105622978795,1.0,0.005026902392039363,0.00013099105622978795
YLR081W,0.0,0.0,1.0,0.0,1.0,1.0
YDR234W,1.0,0.0,1.0,1.0,0.0,1.0
YER178W,1.0,1.0,0.00013099105622978795,1.0,0.0050269023920393625,0.00013097374013427038
YNR041C,1.0,1.0,0.0,1.0,0.0,0.0
YBR035C,0.0,1.0,0.0,0.0,1.0,0.0
YDL182W,1.0,0.0,0.0,1.0,0.0,0.0
YNL318C,0.0,0.0,1.0,0.0,0.0,1.0
YGR147C,0.0,0.0,0.0,0.0,0.0,0.0
YDL040C,1.0,0.0,1.0,1.0,0.0,1.0
YGR192C,1.0,1.0,0.0,1.0,1.0,0.0
YDL131W,1.0,0.0,1.0,1.0,0.0,1.0
YKR093W,0.0,0.0,0.0,0.0,0.0,0.0
YPL273W,1.0,0.0,1.0,1.0,0.0,1.0
YJL052W,0.0,1.0,0.13249995414042282,0.0,1.0,0.1253808892314082
YGR007W,1.0,0.0,0.0,1.0,0.0,0.0
YJR009C,0.11988271104019216,1.0,0.0,0.11631537144470755,1.0,0.0
YLL062C,0.0,1.0,0.0,1.0,1.0,0.0
YGR157W,1.0,1.0,1.0,1.0,0.0005071763706208974,1.0
YMR205C,1.0,1.0,0.018565755043747547,1.0,1.0,0.017595720543305444
YER141W,0.0,1.0,0.0,0.0,0.0,0.0
YDR408C,1.0,0.0,0.0,1.0,0.0,0.0
YGR240C,1.0,1.0,0.018565755043747547,1.0,0.016912079927743295,0.017595720543305444
YKR067W,0.0,1.0,0.0,0.0,0.0,0.0
YBL011W,1.0,1.0,0.000525094014774573,1.0,1.0,0.0005250940147232175
YDR376W,0.0,1.0,1.0,0.0,1.0,1.0
YIL107C,0.0,1.0,0.0,0.0,1.0,0.0
YPL252C,1.0,1.0,1.0,1.0,0.0,1.0
YOL136C,0.0,1.0,0.0,0.0,1.0,0.0
YEL011W,0.0,0.0,0.0,0.0,0.0,0.0
YER081W,0.0,0.0,0.0,0.0,1.0,0.0
YMR189W,0.0,1.0,0.012562842787662735,0.0,1.0,0.012274672954067329
YPL172C,0.0,0.0,0.0,0.0,0.0,0.0
YIL074C,0.0,1.0,0.0,1.0,1.0,0.0
YPL214C,0.0,1.0,1.0,0.0,1.0,1.0
YCR012W,0.0,1.0,0.0,0.0,1.0,0.0
YGL253W,1.0,0.0,0.0,1.0,0.0,0.0
YAL044C,0.0,1.0,0.012562842787662735,0.0,1.0,0.012274672954067329
