"","mip6_20_vs_0_logFC","mip6_20_vs_0_padj","mip6_120_vs_20_logFC","mip6_120_vs_20_padj","WT_20_vs_0_logFC","WT_20_vs_0_padj","WT_120_vs_20_logFC","WT_120_vs_20_padj","0_mip6d_vs_WT_logFC","0_mip6d_vs_WT_padj","20_mip6d_vs_WT_logFC","20_mip6d_vs_WT_padj","120_mip6d_vs_WT_logFC","120_mip6d_vs_WT_padj"
"YKL203C",0.197508384795229,0.0876016147165826,-0.0333721490974805,0.819255567075746,-0.103074159429744,0.397265452023106,0.319895295745186,0.00477249254441969,-0.0617206484672872,0.924623437301488,0.238861895757686,0.0658490747637582,-0.114405549084981,0.966427713683316
"YKL204W",-0.0831612698843374,0.609876687765451,-0.263043293815751,0.0909204128200668,-0.197846617864514,0.185245616901896,0.0318200089996266,0.869510593905747,0.0957099294746074,0.899324021643923,0.210395277454784,0.230591097263403,-0.084468025360593,0.998144679239541
"YKL205W",-0.181452936978554,0.0454485139929649,-0.0105751831164997,0.933339738249801,-0.244764552404591,0.00487637673845265,-0.0846643692479439,0.409920022393071,-0.168666005907467,0.554321932354339,-0.10535439048143,0.350521230186616,-0.0312652043499862,0.998144679239541
"YKL206C",0.147622033181738,0.238843433457794,-0.106773351874809,0.439724222491651,0.283343674390792,0.0129548701102721,-0.236463318506638,0.0481108048530372,-0.15007040077033,0.729388217386203,-0.285792041979383,0.0295880259154642,-0.156102075347553,0.877389377892466
"YKL207W",-0.322713607647854,2.23714049770889e-05,-0.164740644291108,0.0506937903714619,-0.314552388810232,3.03869909244479e-05,-0.127576209068677,0.133566247082218,0.06832109552984,0.846787739061336,0.0601598766922179,0.575691734912514,0.0229954414697863,0.998144679239541
"YKL208W",0.275498588381327,0.0237579089189591,0.0918440355900357,0.51423323569031,0.202194292521756,0.095281876493974,0.205557615500355,0.0917675870513671,0.0364370579118731,0.975463288375057,0.109741353771445,0.480717597329561,-0.00397222613887416,0.998144679239541
"YKL209C",-0.343832940837045,1.99443357344926e-05,-0.920007323844176,3.55458022162226e-32,-0.629567908352205,5.77512162120333e-16,-0.754021443329044,6.16480652011165e-22,0.0670134984823322,0.861677395653556,0.352748465997492,9.13526268341805e-05,0.186762585482361,0.343159505539296
"YKL210W",0.516890536012633,3.51356532574818e-15,-0.956799915924191,3.17545536203384e-49,0.435826729384614,3.82747177367714e-11,-0.981316560777574,4.13662468067994e-52,0.0102066539631047,0.988965902364234,0.0912704605911229,0.297309131674724,0.115787105444505,0.727087143867788
"YKL211C",-0.323443248867748,3.77878073408072e-07,-0.0613765901830186,0.439713082864386,-0.411804065398878,3.08076790762915e-11,0.0125352470970996,0.890060041143915,0.00857024053376486,0.992274262910959,0.0969310570648956,0.236361713060593,0.0230192197847774,0.998144679239541
"YKL212W",-0.156828532206532,0.00877535770122895,-0.268091178131604,6.07969974428328e-06,-0.378009494498474,1.50469576239913e-11,-0.107110366587279,0.0939639727015776,-0.0651077907809399,0.786276770302433,0.156073171511002,0.0215823520053397,-0.00490764003332364,0.998144679239541
"YKL213C",0.409237747807858,3.01940367187103e-05,0.00705500607817214,0.961904834545375,0.391083412269036,6.09792363074577e-05,0.0320154104364518,0.808543278775798,-0.0319868397827921,0.974757435096688,-0.0138325042439703,0.933009341856913,-0.0387929086022499,0.998144679239541
"YKL214C",-0.423422078601437,0.000173372529112423,-0.118535403561898,0.386387515958196,-0.460758662262347,2.41984027344578e-05,-0.101966206814563,0.446481108649703,-0.0983937388242539,0.847190385809336,-0.0610571551633439,0.715470635046855,-0.0776263519106791,0.998144679239541
"YKL215C",0.274554067407406,0.00260531437449381,-0.200731176722316,0.0407177249894721,-0.0193819694535957,0.86200940518516,0.131195838207591,0.195071800177953,0.0070914952358018,0.996374681090247,0.301027532096803,0.00324714445643135,-0.0308994828331038,0.998144679239541
"YKL216W",-1.86972514384982,4.60904700710504e-19,0.814102755014366,0.000332922611160367,-1.85214855132112,8.17204545543898e-19,0.734635607999898,0.00117934890601068,0.149991869908482,0.899729488871017,0.132415277379782,0.683407404502607,0.21188242439425,0.998144679239541
"YKL217W",0.567762295884746,0.000119962326743272,0.104193317452595,0.566515483118556,0.553897871069699,0.000159637108122941,0.29954910202049,0.0534588871263484,0.219420751361016,0.708366920418792,0.233285176176063,0.197144011518235,0.0379293916081686,0.998144679239541
"YKL218C",1.0245947872453,2.18262519947085e-05,-0.137878184154153,0.656606443419444,0.924556199671318,0.000130684185423204,-0.0405950051847399,0.904293718152381,0.0662006338143704,0.97620978832749,0.166239221388353,0.632306296458165,0.06895604241894,0.998144679239541
"YKL219W",0.335358529188845,0.00250475409265951,-0.423114402634028,0.000154565504334013,0.0136123405507843,0.920645623494229,-0.261334000065806,0.0229747235225388,-0.0840616947775459,0.878141582293744,0.237684493860515,0.0662387551180666,0.0759040912922933,0.998144679239541
"YKL220C",0.521196557520404,0.000241568487483254,-0.0924263544043585,0.598451112275962,0.530205677298675,0.000136361325421525,0.0201733875895174,0.914518748633827,0.0614116338970755,0.954001200469806,0.0524025141188042,0.803620575869327,-0.0601972278750716,0.998144679239541
"YKL221W",0.794476416952054,0.00028200590692316,0.308105322017039,0.163695769521072,0.96474945162958,4.32019766922609e-06,0.307219403763137,0.137621294208621,0.174891818299766,0.882045670294351,0.00461878362224011,0.986411116111167,0.00550470187614201,NA
"YKL222C",0.178509918257449,0.0354608267201789,0.236890660120571,0.00414104273428252,0.111969814901752,0.18997806909292,0.267886421236955,0.000648093358934058,0.0815180245000863,0.820964147961964,0.148058127855783,0.127406069678454,0.117062366739399,0.814398042442508
"YKL223W",0,1,0,1,-4.98168051609277,0.425023973195559,0,1,-4.52910859155481,0.864351743580355,0,1,0,NA
"YKR001C",-0.206558900253286,8.68513525365128e-05,-0.353034749338782,1.17962782512743e-11,-0.379761658567109,4.54806531110264e-14,-0.198339265768108,0.000217081282369607,-0.0292562911814051,0.925897817844789,0.143946467132418,0.0187595947839601,-0.0107490164382569,0.998144679239541
