"rep1_mip_me_0"	"rep1_mip_me_15"	"rep1_mip_me_20"	"rep1_mip_sin_0"	"rep1_mip_sin_15"	"rep1_mip_sin_20"	"rep1_wt_me_0"	"rep1_wt_me_15"	"rep1_wt_me_20"	"rep1_wt_sin_0"	"rep1_wt_sin_15"	"rep1_wt_sin_20"	"rep2_mip_me_0"	"rep2_mip_me_15"	"rep2_mip_me_20"	"rep2_mip_sin_0"	"rep2_mip_sin_15"	"rep2_mip_sin_20"	"rep2_wt_me_0"	"rep2_wt_me_15"	"rep2_wt_me_20"	"rep2_wt_sin_0"	"rep2_wt_sin_15"	"rep2_wt_sin_20"	"rep3_mip_me_0"	"rep3_mip_me_15"	"rep3_mip_me_20"	"rep3_mip_sin_0"	"rep3_mip_sin_15"	"rep3_mip_sin_20"	"rep3_wt_me_0"	"rep3_wt_me_15"	"rep3_wt_me_20"	"rep3_wt_sin_0"	"rep3_wt_sin_15"	"rep3_wt_sin_20"
"YCL057C-A"	1551.43030870761	1961.16192051734	1967.42437624766	1678.47486051642	1985.49266321156	2128.51916249712	1250.60575516388	1939.11157864053	1840.74820932371	1770.35844203213	2142.9810289224	2335.92611701068	1447.29608321363	2102.16281948376	1887.94720649651	1655.01440454135	1662.25549302739	1923.2265046047	1400.89872462261	2096.28591796161	1987.86383026178	1907.77766616255	2282.71984573507	2174.14084684744	1424.8042615405	1936.25393923072	1597.86798251177	1740.65337318414	2262.53793454042	1878.1969403352	1521.71333609452	1813.38362935738	1806.54522484298	2025.22917847977	2306.3217264391	2212.48721109417
"YCL057W"	5260.42803639232	14267.408827577	13163.2039726906	7947.21698950483	14925.999628071	15535.7844073548	6232.92886121923	13178.6679086333	12846.582409098	8071.37301880225	15650.9191794352	16485.4355344121	5859.37295733673	12324.0118723624	13060.2318715505	8754.21868975869	13850.5127764698	15188.46707652	5703.62968862379	13631.7254328298	14158.6646541928	8688.21024178731	15287.1564743876	15755.0738769793	5326.20692100046	13031.0163208928	13139.3239015111	8804.66969606126	14521.2879778286	16272.2033519953	5393.60672271791	13636.2931790515	12688.971655327	9059.51807172235	15295.6882043223	16306.0879671902
"YCL056C"	598.996682595041	679.901269412636	738.29396617999	487.842225656519	531.227989487651	624.416157648893	519.870006824341	755.382368197047	742.949076427242	558.540045105448	624.036425293397	605.79572660673	543.93293533659	786.535858591893	784.744250436073	448.216088771956	584.388830323283	673.202934532804	503.060732392693	651.59495790115	764.458907089879	537.883924532646	572.741826084294	655.940652170763	533.870595225392	758.113314993577	663.773628237547	527.412265039091	567.476962027706	620.878096464013	534.052195747152	756.244846737953	774.648497842677	550.813524062639	548.78611560297	634.880506873823
"YCL055W"	1262.14495332337	1820.71609470775	1830.36358930503	1165.25488302073	1409.90145358283	1504.2253296372	1202.75852965357	1837.11296922777	1777.59906820339	1122.3921406295	1488.49166134573	1735.80070677364	1232.10357080074	1911.65909755597	2017.39468880445	936.229956338734	1629.2401577032	1648.65896126671	1213.28461766944	1835.96021530505	1904.77876206544	1098.55494625039	1429.32301990368	1487.38445205497	1213.91719058302	1975.58758788485	1891.15826899835	1012.26052696131	1547.20638396045	1529.99790037624	1343.20697491212	1903.20949911387	1920.85949417718	1068.32288596079	1454.32409756329	1428.05401758312
"YCL054W"	6457.64006000365	3273.01000121983	4945.66423482483	5016.7546162609	621.378329540584	1269.83077222592	4488.66331466076	5011.22431833219	5647.74993628616	3980.41283841497	1373.92159263046	2981.07612296658	6338.90623833394	3519.22654315057	4435.69411668258	4548.56425341421	1445.25320050731	1843.52715492673	5488.93422821713	3598.96821794751	4302.76176041834	4106.67515742298	1188.53852090253	1721.31693668788	5293.78518753395	3850.24783316709	4366.0320307716	4349.52490624277	1865.32711459526	1978.0561947389	4885.60764817638	3353.31064861342	4147.34859842276	2962.80502096693	1362.71883866376	2185.28024790515
"YCL052C"	2471.92077750387	3944.33104527368	3284.40634524674	2942.47798396054	6260.77081804746	5490.31007486257	2723.86905379622	3542.19744484374	3046.18762351311	2829.12585391382	5085.83278483363	4435.40489519124	2112.19686043291	3748.16805804118	3425.16694872199	2422.06061219123	5572.77583733079	4910.32688784072	2460.10090375419	3875.35423972573	3642.83017314307	2950.70624543904	6041.65944817971	5460.13243356527	2480.91297564513	3674.29901243225	3553.56388046547	2541.94599986934	5357.79242011543	5021.2813227956	2258.93211225223	4045.97933528518	3411.6652494598	2992.2079937731	5956.22510536423	4935.19368331516
"YCL051W"	2253.50192971788	2079.1903809876	1949.61809416015	2548.23177246613	3231.52063817868	2713.74809944148	2650.53765446068	1978.80119242237	1992.59211709196	2720.77697897621	2780.7204940909	2344.32471297546	2124.79660305083	2139.73073918308	2085.8270205617	2494.53314225234	2900.23255784171	2503.73277659563	2358.98972228273	2110.17473644919	2173.38579269239	2581.10466527485	3056.008395594	2581.20857279125	2198.28410187872	1911.615873718	1854.39132641279	2408.95954988004	2694.45959842959	2650.87381504005	2368.11374396755	2232.04214012592	2082.1607598065	2770.55582706819	3221.95352986507	2872.50137342636
"YCL050C"	8571.49254923152	18796.3995360614	12214.0967842741	19638.7667760464	39532.3332009832	29768.9809367903	11431.3853674346	19553.3809674528	13660.2878686661	18735.4912385938	34317.4518234829	27455.1856080537	8497.43515577816	21131.8430881278	15373.0859593489	15205.4084923818	35988.6709804235	27770.2461602638	9255.63086294977	21550.49543769	15712.511591824	17035.1328023478	37006.0649699722	29576.9289172899	8582.94237419686	22267.5459503815	15688.3648691426	14309.1692487388	34810.8457769124	28600.3861093164	8835.26770661597	23160.4465034382	16559.3962294929	14749.2074839663	38227.4297439216	30037.9758362698
"YCL049C"	910.308921554009	1716.5851899049	1643.77005925206	833.888420366733	1371.25867113548	1911.12582952064	1079.46349756474	1399.88956388534	1477.06734021214	907.477603264236	1235.45651796438	1604.1554455285	908.228827793223	1886.9783961524	1680.04431519246	828.745442664592	1179.924981947	1536.02475976496	928.865341248061	1895.28765161188	1873.41160924313	808.26209442894	1097.25410635129	1781.66972051339	949.773546967453	1723.2223011057	1560.57403774329	881.54673820506	1316.62211784669	1704.74819975512	1050.26071519621	1354.0544259324	1565.39407875585	1005.62867548002	1186.60478586246	1678.32926011837
"YCL048W"	25.9980287569792	78.6712135584183	62.9790728361015	44.569622923321	119.096104479416	81.8091551435062	23.5653517024977	65.2109150315298	52.678158152945	26.0810697499618	84.7970695373875	70.6404099357834	31.0167979551776	79.7104336896378	64.787528438756	19.8519342512079	124.162832424397	90.4933204788861	20.3399625212665	84.2866262768341	57.2850167452448	23.6264238052194	87.479849514043	99.7124379419068	20.8744241497015	80.0933603162941	84.0312024167853	32.1441262305298	79.310959422342	78.4397021938285	28.2665192500089	69.6547539760072	58.045637629849	32.0014176549889	88.0656179024443	78.1784040487357
