Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR9929274_1	(21.0, 2.0)	(22.0, 11.0)	(23.0, 35.0)	(24.0, 137.0)	(25.0, 567.0)	(26.0, 1897.0)	(27.0, 5356.0)	(28.0, 14059.0)	(29.0, 36493.0)	(30.0, 85278.0)	(31.0, 163823.0)	(32.0, 268451.0)	(33.0, 408507.0)	(34.0, 646033.0)	(35.0, 1252977.0)	(36.0, 10150593.0)	(37.0, 14308022.0)									
SRR9929274_2	(13.0, 2.0)	(14.0, 16.0)	(15.0, 130.0)	(16.0, 982.0)	(17.0, 7365.0)	(18.0, 29478.0)	(19.0, 62148.0)	(20.0, 71887.0)	(21.0, 57482.0)	(22.0, 46918.0)	(23.0, 46284.0)	(24.0, 53753.0)	(25.0, 74492.0)	(26.0, 107638.0)	(27.0, 129924.0)	(28.0, 127358.0)	(29.0, 118745.0)	(30.0, 129828.0)	(31.0, 164391.0)	(32.0, 229311.0)	(33.0, 352854.0)	(34.0, 640346.0)	(35.0, 1775037.0)	(36.0, 13180186.0)	(37.0, 9935686.0)	
SRR9929275_1	(22.0, 15.0)	(23.0, 65.0)	(24.0, 176.0)	(25.0, 480.0)	(26.0, 1547.0)	(27.0, 4974.0)	(28.0, 13821.0)	(29.0, 36953.0)	(30.0, 86766.0)	(31.0, 168740.0)	(32.0, 275878.0)	(33.0, 419664.0)	(34.0, 657348.0)	(35.0, 1282904.0)	(36.0, 10845763.0)	(37.0, 15275331.0)										
SRR9929275_2	(14.0, 6.0)	(15.0, 82.0)	(16.0, 535.0)	(17.0, 3905.0)	(18.0, 17978.0)	(19.0, 43082.0)	(20.0, 55621.0)	(21.0, 48875.0)	(22.0, 41911.0)	(23.0, 43630.0)	(24.0, 50385.0)	(25.0, 62730.0)	(26.0, 89035.0)	(27.0, 110111.0)	(28.0, 111517.0)	(29.0, 110306.0)	(30.0, 125178.0)	(31.0, 160202.0)	(32.0, 229050.0)	(33.0, 357178.0)	(34.0, 655751.0)	(35.0, 1841500.0)	(36.0, 13960625.0)	(37.0, 10951232.0)		
SRR9929276_1	(21.0, 1.0)	(22.0, 6.0)	(23.0, 19.0)	(24.0, 76.0)	(25.0, 347.0)	(26.0, 1520.0)	(27.0, 5005.0)	(28.0, 12964.0)	(29.0, 34171.0)	(30.0, 79944.0)	(31.0, 154808.0)	(32.0, 256629.0)	(33.0, 394208.0)	(34.0, 640827.0)	(35.0, 1225308.0)	(36.0, 10152560.0)	(37.0, 15061206.0)									
SRR9929276_2	(14.0, 10.0)	(15.0, 127.0)	(16.0, 894.0)	(17.0, 6290.0)	(18.0, 26349.0)	(19.0, 58043.0)	(20.0, 71946.0)	(21.0, 61418.0)	(22.0, 52747.0)	(23.0, 54138.0)	(24.0, 58669.0)	(25.0, 72040.0)	(26.0, 99237.0)	(27.0, 120595.0)	(28.0, 119950.0)	(29.0, 115076.0)	(30.0, 127738.0)	(31.0, 163645.0)	(32.0, 232757.0)	(33.0, 361470.0)	(34.0, 662682.0)	(35.0, 1865727.0)	(36.0, 13827302.0)	(37.0, 9860749.0)		
SRR9929277_1	(21.0, 1.0)	(22.0, 11.0)	(23.0, 51.0)	(24.0, 168.0)	(25.0, 554.0)	(26.0, 1871.0)	(27.0, 5554.0)	(28.0, 14779.0)	(29.0, 39482.0)	(30.0, 90963.0)	(31.0, 175131.0)	(32.0, 285483.0)	(33.0, 431097.0)	(34.0, 662133.0)	(35.0, 1303623.0)	(36.0, 10981057.0)	(37.0, 15385331.0)									
SRR9929277_2	(14.0, 4.0)	(15.0, 57.0)	(16.0, 540.0)	(17.0, 3709.0)	(18.0, 16678.0)	(19.0, 40038.0)	(20.0, 50601.0)	(21.0, 42974.0)	(22.0, 34759.0)	(23.0, 35092.0)	(24.0, 44334.0)	(25.0, 62270.0)	(26.0, 88960.0)	(27.0, 108480.0)	(28.0, 109848.0)	(29.0, 110780.0)	(30.0, 127439.0)	(31.0, 166152.0)	(32.0, 237399.0)	(33.0, 369950.0)	(34.0, 679372.0)	(35.0, 1918754.0)	(36.0, 14389690.0)	(37.0, 10739409.0)		
SRR9929278_1	(21.0, 1.0)	(22.0, 12.0)	(23.0, 15.0)	(24.0, 83.0)	(25.0, 354.0)	(26.0, 1316.0)	(27.0, 4276.0)	(28.0, 12020.0)	(29.0, 33749.0)	(30.0, 80854.0)	(31.0, 158104.0)	(32.0, 259803.0)	(33.0, 393614.0)	(34.0, 603640.0)	(35.0, 1192024.0)	(36.0, 10131614.0)	(37.0, 14890685.0)									
SRR9929278_2	(14.0, 8.0)	(15.0, 59.0)	(16.0, 492.0)	(17.0, 3227.0)	(18.0, 15322.0)	(19.0, 34892.0)	(20.0, 43592.0)	(21.0, 35259.0)	(22.0, 28465.0)	(23.0, 29521.0)	(24.0, 35857.0)	(25.0, 49494.0)	(26.0, 73277.0)	(27.0, 91670.0)	(28.0, 95431.0)	(29.0, 97830.0)	(30.0, 115008.0)	(31.0, 153535.0)	(32.0, 221876.0)	(33.0, 349305.0)	(34.0, 640326.0)	(35.0, 1813078.0)	(36.0, 13677917.0)	(37.0, 10156723.0)		
SRR9929279_1	(22.0, 11.0)	(23.0, 15.0)	(24.0, 45.0)	(25.0, 177.0)	(26.0, 771.0)	(27.0, 2968.0)	(28.0, 9038.0)	(29.0, 26274.0)	(30.0, 65056.0)	(31.0, 132894.0)	(32.0, 225555.0)	(33.0, 350341.0)	(34.0, 533814.0)	(35.0, 1094075.0)	(36.0, 10146165.0)	(37.0, 15154100.0)										
SRR9929279_2	(14.0, 4.0)	(15.0, 38.0)	(16.0, 331.0)	(17.0, 2575.0)	(18.0, 11410.0)	(19.0, 26834.0)	(20.0, 34079.0)	(21.0, 28940.0)	(22.0, 22889.0)	(23.0, 22164.0)	(24.0, 26274.0)	(25.0, 39051.0)	(26.0, 62027.0)	(27.0, 81321.0)	(28.0, 85275.0)	(29.0, 86387.0)	(30.0, 100209.0)	(31.0, 132997.0)	(32.0, 193223.0)	(33.0, 311447.0)	(34.0, 580223.0)	(35.0, 1653100.0)	(36.0, 13350216.0)	(37.0, 10890285.0)		
SRR9929280_1	(22.0, 6.0)	(23.0, 17.0)	(24.0, 77.0)	(25.0, 328.0)	(26.0, 1395.0)	(27.0, 4459.0)	(28.0, 12116.0)	(29.0, 33378.0)	(30.0, 79215.0)	(31.0, 156140.0)	(32.0, 262403.0)	(33.0, 405076.0)	(34.0, 639872.0)	(35.0, 1354420.0)	(36.0, 11848561.0)	(37.0, 17570166.0)										
