Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR9929276_2	(1.0, 10.853480573574101)	(2.0, 5.396650609632263)	(3.0, 4.09178357604527)	(4.0, 3.2789166854891882)	(5.0, 2.5746094898174876)	(6.0, 2.2045008912644897)	(7.0, 1.8346189884919102)	(8.0, 1.6308082117852527)	(9.0, 1.4564205180209555)	('>10', 19.414085918062696)	('>50', 7.806854995550467)	('>100', 18.023704100312855)	('>500', 5.784298052086259)	('>1k', 8.318122155770453)	('>5k', 2.3472827923995463)	('>10k+', 4.983862441697006)
SRR9929277_1	(1.0, 6.580276465523609)	(2.0, 4.2083592055744266)	(3.0, 3.1600397325074274)	(4.0, 2.4624885911582126)	(5.0, 2.073013873338343)	(6.0, 1.8199723676006831)	(7.0, 1.605037286243334)	(8.0, 1.401677410835645)	(9.0, 1.2721949738533191)	('>10', 20.546408931716336)	('>50', 8.041262708299724)	('>100', 16.614151771264527)	('>500', 6.558003603260209)	('>1k', 11.900614643873464)	('>5k', 3.455348576245237)	('>10k+', 8.301149858705362)
SRR9929277_2	(1.0, 9.26240361453702)	(2.0, 5.554402874657173)	(3.0, 4.448802789159663)	(4.0, 3.613892310927801)	(5.0, 2.9726962763641382)	(6.0, 2.4823430629626975)	(7.0, 2.2349858459724676)	(8.0, 1.8279840669439895)	(9.0, 1.6421780903570307)	('>10', 20.75041849881658)	('>50', 7.1759159332748474)	('>100', 15.74893401083883)	('>500', 6.02563523770715)	('>1k', 7.965933125300063)	('>5k', 2.5631180511108487)	('>10k+', 5.730356211069713)
SRR9929278_1	(1.0, 6.274428291196298)	(2.0, 3.8975792282236785)	(3.0, 2.959491285178919)	(4.0, 2.3578433432677937)	(5.0, 1.955658590017596)	(6.0, 1.689696865152643)	(7.0, 1.4715114899833501)	(8.0, 1.3015529856087822)	(9.0, 1.214048464667149)	('>10', 19.137535444980855)	('>50', 7.915904092292081)	('>100', 18.16217929206337)	('>500', 7.774786215076694)	('>1k', 12.784121880268644)	('>5k', 3.298138205703744)	('>10k+', 7.805524326318444)
SRR9929278_2	(1.0, 9.105125601761893)	(2.0, 5.202873058639757)	(3.0, 4.1584765944623)	(4.0, 3.293190415956658)	(5.0, 2.6956679117512947)	(6.0, 2.368044526211014)	(7.0, 1.9366340209981565)	(8.0, 1.6369486993601856)	(9.0, 1.4310281122516983)	('>10', 19.805902854531528)	('>50', 8.133066014103145)	('>100', 18.929625341099488)	('>500', 6.088262248404966)	('>1k', 7.842297798306778)	('>5k', 2.5001952129333227)	('>10k+', 4.8726615892278975)
SRR9929279_1	(1.0, 8.794480377654592)	(2.0, 4.651730137515126)	(3.0, 3.4604515709953114)	(4.0, 2.8466314112329716)	(5.0, 2.352337501815069)	(6.0, 2.0566752133955655)	(7.0, 1.8278667004879174)	(8.0, 1.7365109509155814)	(9.0, 1.4857194641172062)	('>10', 22.622675545353793)	('>50', 8.123800181957835)	('>100', 16.587294647255614)	('>500', 6.306364711762513)	('>1k', 10.174465045185649)	('>5k', 2.5127900717298894)	('>10k+', 4.460206468625237)
SRR9929279_2	(1.0, 10.935642901218186)	(2.0, 6.391550234958985)	(3.0, 5.1578322479905605)	(4.0, 4.036874796587934)	(5.0, 3.2357467563276265)	(6.0, 2.8293381071615586)	(7.0, 2.4021764740286415)	(8.0, 1.9980165849133722)	(9.0, 1.7199654423430375)	('>10', 21.44935445365172)	('>50', 7.442581309481939)	('>100', 15.672470512613518)	('>500', 4.992251031402036)	('>1k', 7.241082964520287)	('>5k', 1.687943341982608)	('>10k+', 2.8071728408181453)
SRR9929280_1	(1.0, 6.539437667913223)	(2.0, 4.0639794114526335)	(3.0, 3.0453807566921136)	(4.0, 2.4671372280323878)	(5.0, 2.039556722676027)	(6.0, 1.7869725644222616)	(7.0, 1.5654013288768975)	(8.0, 1.3608383548123584)	(9.0, 1.3116560966482833)	('>10', 20.73820472521907)	('>50', 8.179684491630614)	('>100', 16.524626079061342)	('>500', 6.397728017300268)	('>1k', 12.517086802395964)	('>5k', 3.731742137396306)	('>10k+', 7.730567615470235)
SRR9929280_2	(1.0, 9.318728755430342)	(2.0, 5.328402413630041)	(3.0, 4.334694815005537)	(4.0, 3.6593494918434977)	(5.0, 3.0123889680941383)	(6.0, 2.4664720536658282)	(7.0, 2.1154367507272944)	(8.0, 1.8591370122228539)	(9.0, 1.664316295726058)	('>10', 20.97175967055273)	('>50', 7.071877946519766)	('>100', 15.233939568823518)	('>500', 6.219138924650191)	('>1k', 9.54094447311725)	('>5k', 2.336540356052474)	('>10k+', 4.86687250393842)
SRR9929281_1	(1.0, 7.839886496374339)	(2.0, 4.24085575175069)	(3.0, 3.1511245405513955)	(4.0, 2.5246666438971355)	(5.0, 2.217396019881465)	(6.0, 1.914784462362491)	(7.0, 1.64911424786117)	(8.0, 1.5293057237589491)	(9.0, 1.3110294537791616)	('>10', 22.53612737816663)	('>50', 8.282086923491825)	('>100', 16.361815208658033)	('>500', 6.232947898252694)	('>1k', 10.910206104533973)	('>5k', 2.9015872421783673)	('>10k+', 6.3970659045017575)
SRR9929281_2	(1.0, 9.745589039490202)	(2.0, 5.835543369988)	(3.0, 4.859255261911232)	(4.0, 3.9107554969513814)	(5.0, 3.117925973552134)	(6.0, 2.7614628120297073)	(7.0, 2.3512281026347797)	(8.0, 1.9846110403561794)	(9.0, 1.784519184789192)	('>10', 21.808885069233565)	('>50', 7.305166910539087)	('>100', 15.234093637368995)	('>500', 5.425443036409637)	('>1k', 7.989012962936359)	('>5k', 2.0419979010294966)	('>10k+', 3.8445102007799896)
SRR9929282_1	(1.0, 6.989494915357761)	(2.0, 3.701149250974957)	(3.0, 2.697450034109062)	(4.0, 2.184086477455117)	(5.0, 1.8753203213773075)	(6.0, 1.6131343402251581)	(7.0, 1.3967085840894418)	(8.0, 1.2750810763385596)	(9.0, 1.1379289664288117)	('>10', 19.057368984864617)	('>50', 7.8579562933757865)	('>100', 18.112199167782506)	('>500', 7.692980307337556)	('>1k', 13.138481820035208)	('>5k', 3.422924012068783)	('>10k+', 7.847735448179346)
SRR9929282_2	(1.0, 9.356395899300399)	(2.0, 5.077146355612181)	(3.0, 3.896741466473315)	(4.0, 3.0820545100852166)	(5.0, 2.542332181654598)	(6.0, 2.1401353461265233)	(7.0, 1.8248607906127323)	(8.0, 1.7186322484457328)	(9.0, 1.4158801303144357)	('>10', 19.663284138771896)	('>50', 7.8263369031114305)	('>100', 19.334072334593618)	('>500', 6.42647476358878)	('>1k', 9.043177830842101)	('>5k', 2.1319381847380825)	('>10k+', 4.520536915728949)
SRR9929283_1	(1.0, 6.714039847137747)	(2.0, 4.303434881447745)	(3.0, 3.222059430686935)	(4.0, 2.615823027861187)	(5.0, 2.1701615634651077)	(6.0, 1.8612852899247152)	(7.0, 1.6314365317730752)	(8.0, 1.4732839994126308)	(9.0, 1.2897143975621974)	('>10', 21.41431035128725)	('>50', 8.18119836262983)	('>100', 16.760584241997286)	('>500', 6.616067721395308)	('>1k', 11.749006980334302)	('>5k', 3.237130362424928)	('>10k+', 6.7604630106597146)
SRR9929283_2	(1.0, 8.704461724832282)	(2.0, 5.4885037055569414)	(3.0, 4.525475115199134)	(4.0, 3.7183606625320262)	(5.0, 3.0497399627487716)	(6.0, 2.5844600735634935)	(7.0, 2.2249428403352134)	(8.0, 1.965216015830392)	(9.0, 1.7207268877372026)	('>10', 21.783235200028646)	('>50', 7.31514395061776)	('>100', 15.886016967537394)	('>500', 6.003013935169456)	('>1k', 8.402173886594579)	('>5k', 2.4212672013415717)	('>10k+', 4.207261870375011)
SRR9929284_1	(1.0, 6.998045226266364)	(2.0, 4.037453120690109)	(3.0, 2.869465010407148)	(4.0, 2.328501186585672)	(5.0, 1.9490712525675449)	(6.0, 1.6965680971687813)	(7.0, 1.5406822145351007)	(8.0, 1.3945086185737734)	(9.0, 1.248554565077471)	('>10', 19.3605415376075)	('>50', 7.344560114686498)	('>100', 15.693478715721707)	('>500', 6.294802512831104)	('>1k', 12.683416429402977)	('>5k', 3.428553097167904)	('>10k+', 11.131798300710555)
SRR9929284_2	(1.0, 9.742133932599836)	(2.0, 5.629449135591343)	(3.0, 4.387482339616757)	(4.0, 3.3834597253776653)	(5.0, 2.8079379884383875)	(6.0, 2.267434676947019)	(7.0, 1.907865905424672)	(8.0, 1.6543500768082235)	(9.0, 1.5340537755231496)	('>10', 18.940374343824224)	('>50', 6.747143283334537)	('>100', 15.34149547320968)	('>500', 6.3749583081408945)	('>1k', 9.21834727078036)	('>5k', 2.6223206980270053)	('>10k+', 7.441193066356039)
SRR9929285_1	(1.0, 6.8463128643674365)	(2.0, 3.7748778062058728)	(3.0, 2.682057404129838)	(4.0, 2.190303815162459)	(5.0, 1.7922080780923926)	(6.0, 1.612236342509473)	(7.0, 1.4083217389469482)	(8.0, 1.2625287723309653)	(9.0, 1.1204067101965953)	('>10', 18.33526167960385)	('>50', 7.640483670140412)	('>100', 17.44823485163494)	('>500', 7.268469064567721)	('>1k', 12.812907018619537)	('>5k', 3.621082754379695)	('>10k+', 10.18430742911197)
SRR9929285_2	(1.0, 10.27204468146464)	(2.0, 5.446972262462902)	(3.0, 4.14957090826534)	(4.0, 3.1685054748822306)	(5.0, 2.5287450328245793)	(6.0, 2.1351268889836286)	(7.0, 1.755979477387196)	(8.0, 1.536323212432551)	(9.0, 1.2809996455933528)	('>10', 18.80882245963357)	('>50', 7.691145939332869)	('>100', 18.06464920194347)	('>500', 6.168114733595044)	('>1k', 8.575559390032089)	('>5k', 2.252576261860187)	('>10k+', 6.164864429306319)
SRR9929286_1	(1.0, 8.275839379049943)	(2.0, 4.356889550239932)	(3.0, 3.178505105717138)	(4.0, 2.607938496293347)	(5.0, 2.305975208816408)	(6.0, 1.9942653114583295)	(7.0, 1.786949706769155)	(8.0, 1.5337761451864322)	(9.0, 1.406009629864022)	('>10', 21.616877439860634)	('>50', 7.79602279051979)	('>100', 15.930432665269127)	('>500', 6.0170314590209335)	('>1k', 10.142638490552928)	('>5k', 2.924281142352854)	('>10k+', 8.126567479029042)
SRR9929286_2	(1.0, 11.276616651908066)	(2.0, 6.355261714616136)	(3.0, 5.044846087618058)	(4.0, 3.8605216157717823)	(5.0, 3.2167258184265592)	(6.0, 2.5222451207065624)	(7.0, 2.2750826245339373)	(8.0, 1.8394275489118632)	(9.0, 1.6118707764524283)	('>10', 20.701579897369935)	('>50', 7.104514542387127)	('>100', 14.70434096184581)	('>500', 4.785410136082841)	('>1k', 7.492118171174682)	('>5k', 2.463024618313282)	('>10k+', 4.746413713880856)
