Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR9929278_1	SRR9929278_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27762164.0	2.8 Gbp	0.0	101.0	44.0	12.171657429912086	101.0	101	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
SRR9929278_2	SRR9929278_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27762164.0	2.8 Gbp	0.0	101.0	43.0	16.746003264321285	101.0	101	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
SRR9929279_1	SRR9929279_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27741299.0	2.8 Gbp	0.0	101.0	42.0	15.829268960477902	101.0	101	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
SRR9929279_2	SRR9929279_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27741299.0	2.8 Gbp	0.0	101.0	42.0	20.120821295422573	101.0	101	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
SRR9929280_1	SRR9929280_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32367629.0	3.2 Gbp	0.0	101.0	43.0	12.722284544572787	101.0	101	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR9929280_2	SRR9929280_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32367629.0	3.2 Gbp	0.0	101.0	43.0	17.392178258335655	101.0	101	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
SRR9929281_1	SRR9929281_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31668729.0	3.1 Gbp	0.0	101.0	42.0	14.345574856637738	101.0	101	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR9929281_2	SRR9929281_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31668729.0	3.1 Gbp	0.0	101.0	42.0	18.488812446013934	101.0	101	pass	pass	pass	warn	warn	pass	pass	fail	warn	pass
SRR9929282_1	SRR9929282_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29808934.0	3 Gbp	0.0	101.0	43.0	12.594779588896476	101.0	101	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
SRR9929282_2	SRR9929282_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29808934.0	3 Gbp	0.0	101.0	43.0	16.710282178837605	101.0	101	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
SRR9929283_1	SRR9929283_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30410865.0	3 Gbp	0.0	101.0	44.0	13.209217536802994	101.0	101	pass	pass	pass	fail	fail	pass	pass	fail	warn	warn
SRR9929283_2	SRR9929283_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30410865.0	3 Gbp	0.0	101.0	43.0	17.04806085229174	101.0	101	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
SRR9929284_1	SRR9929284_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26755448.0	2.7 Gbp	0.0	101.0	43.0	12.954165612588922	101.0	101	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
SRR9929284_2	SRR9929284_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26755448.0	2.7 Gbp	0.0	101.0	43.0	17.647255629006118	101.0	101	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
SRR9929285_1	SRR9929285_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26268982.0	2.6 Gbp	0.0	101.0	44.0	12.428479113055818	101.0	101	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn
SRR9929285_2	SRR9929285_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26268982.0	2.6 Gbp	0.0	101.0	44.0	17.814828093440756	101.0	101	pass	pass	pass	warn	fail	pass	pass	fail	warn	warn
SRR9929286_1	SRR9929286_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26847921.0	2.7 Gbp	0.0	101.0	43.0	14.88443551549965	101.0	101	pass	pass	pass	fail	pass	pass	pass	fail	fail	warn
SRR9929286_2	SRR9929286_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26847921.0	2.7 Gbp	0.0	101.0	42.0	20.194990974499046	101.0	101	pass	pass	pass	warn	warn	pass	pass	fail	warn	warn
