"","mip6_20_vs_0_logFC","mip6_20_vs_0_padj","mip6_120_vs_20_logFC","mip6_120_vs_20_padj","WT_20_vs_0_logFC","WT_20_vs_0_padj","WT_120_vs_20_logFC","WT_120_vs_20_padj","0_mip6d_vs_WT_logFC","0_mip6d_vs_WT_padj","20_mip6d_vs_WT_logFC","20_mip6d_vs_WT_padj","120_mip6d_vs_WT_logFC","120_mip6d_vs_WT_padj"
"YHR074W",-0.132604591733151,0.0574117464816204,-0.437672514060275,2.10204121700536e-11,-0.335803770584646,1.86199150486736e-07,-0.294090606710862,9.66125175980177e-06,0.0570670104504151,0.855897052076025,0.26026618930191,0.000450469592478045,0.116684281952498,0.697852458323574
"YHR075C",0.27899203003075,0.00831903918303813,-0.143420246237478,0.218785292862689,0.540227566321509,4.13146535718317e-08,-0.0186521018863913,0.891504337853971,0.174963756736444,0.65853080034382,-0.0862717795543147,0.530791206419641,-0.211039923905401,0.430201568189043
"YHR076W",-0.163522061498732,0.0769094428545731,-0.180683630869684,0.0597915811484369,-0.150880498506937,0.0950367669349321,-0.191302384843134,0.0375073284051948,-0.0435415182748862,0.933084424671061,-0.056183081266681,0.657638742248401,-0.0455643272932316,0.998144679236324
"YHR077C",-0.0230979147220481,0.841690904957856,0.0994475500359855,0.384709367369044,-0.117077126053695,0.256129987862331,0.188477017940706,0.0658865939153994,-0.0717833769385746,0.878471550556132,0.0221958343930723,0.882891663070986,-0.0668336335116487,0.998144679236324
"YHR078W",-0.293271475064675,6.81380290938823e-08,0.335478232085614,5.01616980411804e-10,-0.468982156043093,4.84063864381717e-20,0.353286073756481,1.00480092955016e-11,-0.0831716968548224,0.689592479999162,0.0925389841235953,0.179204460873256,0.0747311424527279,0.867204926222089
"YHR079C",0.205097262576562,0.000233882037195586,0.0838091605276021,0.181449832380295,-0.0902810582004027,0.121364683293439,0.293448406486916,4.41750374134528e-08,-0.0874053657829086,0.674154078117377,0.207972954994056,0.000780145319430107,-0.00166629096525727,0.998144679236324
"YHR079C-A",1.05242915406902,0.0764383491586366,1.14895075072089,0.0135976289490727,1.23534971019752,0.047695573482661,1.39469742907412,0.00152770212931871,0.512654896626072,0.877987771290722,0.329734340497577,0.635594857277182,0.0839876621443425,NA
"YHR080C",0.278193399519075,0.00205758797698667,-0.257032658956021,0.00643074826226537,0.186429936438967,0.0440507018586497,-0.111536596461091,0.276938626806252,0.22165149572408,0.313706560494172,0.313414958804188,0.00185415793715169,0.167918896309258,0.596617223956917
"YHR081W",-0.702461065949858,5.56471682596513e-06,0.390284259096138,0.0206918195232563,-0.71447540898875,1.6909775234561e-06,0.419292603558337,0.00855575037142498,-0.203995651242492,0.720704897709565,-0.1919813082036,0.34975916691599,-0.220989652665799,0.854791215881954
"YHR082C",0.468569051282849,3.77905270268192e-12,0.264864581037412,0.000213203869152227,0.43584383205917,9.15764696640541e-11,0.248793435380618,0.000449224722622563,0.0705423503553508,0.81893646676353,0.103267569579031,0.239065841138658,0.119338715235825,0.711453200975697
"YHR083W",-0.115965932081792,0.106084842404945,-0.0577703403443021,0.483893607648229,0.00953802792703356,0.909051807223513,-0.10213009382118,0.16673631918205,0.106195787728503,0.671871043934638,-0.0193081722803229,0.852134993886183,0.0250515811965547,0.998144679236324
"YHR084W",0.0762298988652321,0.580952701132153,-0.594374940705226,6.90552406381941e-07,-0.200902952715891,0.109560564648015,-0.347195773723038,0.00519266035134067,0.0251065654514716,0.981527487175717,0.302239417032595,0.02963231854695,0.0550602500504072,0.998144679236324
"YHR085W",-0.0564776540705752,0.637173604920152,0.0197217550410007,0.888681291107309,0.0421704793151942,0.722968926822141,-0.242308188077753,0.0215753732462114,-0.229791195184256,0.413315336413703,-0.328439328570025,0.00435768685710294,-0.0664093854512716,0.998144679236324
"YHR086W",0.0349706252843846,0.722235776632868,-0.175433291839272,0.0494948674283388,-0.188458527133482,0.0238290655722309,-0.113372105257758,0.21805879333521,-0.0201325615383541,0.976995384528681,0.203296590879513,0.0333911046716401,0.141235404297999,0.703655362400447
"YHR086W-A",-0.396736512129757,0.49512715259126,0.330446278240079,0.595381136255872,0.85788835152957,0.0643370059026282,0.0598874155515396,0.911226841091309,0.111928091678162,0.979299001485113,-1.14269677198116,0.0378514072830803,-0.872137909292625,NA
"YHR087W",3.57951873416836,2.57024751494267e-51,-2.4608649350829,6.98449145966695e-25,3.55907586799373,4.95142208141298e-50,-2.56301190649733,7.60966840877668e-27,0.641579690713366,0.313706560494172,0.662022556887998,0.0213614835557075,0.764169528302424,0.0785264786869315
"YHR088W",-0.262992738312468,0.00898937338130835,0.131700746829799,0.24756551568149,0.063105430542073,0.570973350826264,-0.160320617044272,0.131915348819333,-0.11869081057139,0.754415662822905,-0.444788979425931,3.21509939720501e-05,-0.15276761555186,0.791963210350193
"YHR089C",-1.06988118794457,0.000959168607364661,0.4218268402555,0.263249271915541,-1.09389396932509,0.000684637644652755,0.55460166404642,0.12086136346317,-0.0319425277507883,0.99632289440985,-0.00792974637026514,0.986065910487492,-0.140704570161185,0.998144679236324
